word,start,end
okay,7.6,7.6
let,8,8
me,8.1,8.1
get,8.2,8.2
this,8.2,8.2
straight,8.4,8.4
you,8.7,8.8
want,8.8,9.3
to,9.3,9.4
go,9.4,9.5
fight,9.5,9.8
a,9.8,9.9
dragon,9.9,10.2
and,10.2,10.3
rescue,10.3,10.8
a,10.8,10.9
princess,10.9,11.1
just,11.1,11.6
so,11.6,11.6
farquad,11.6,12
will,12,12.1
give,12.2,12.4
you,12.4,12.4
back,12.4,12.6
a,12.6,12.7
swamp,12.7,13.2
which,13.2,13.4
you,13.4,13.5
only,13.5,13.8
don't,13.8,14.1
have,14.1,14.3
cuz,14.3,14.5
he,14.5,14.6
filled,14.6,14.9
it,14.9,14.9
full,14.9,15.1
of,15.1,15.2
freaks,15.2,15.2
in,15.2,15.5
the,15.5,15.5
first,15.5,15.8
place,15.8,16.1
that,16.1,16.1
about,16.1,16.1
right,16.2,16.2
you,16.5,16.6
know,16.6,16.6
what,16.7,16.8
maybe,17.8,18.1
there's,18.1,18.3
a,18.3,18.4
good,18.4,18.4
reason,18.4,18.8
donkeys,18.8,19.6
shouldn't,19.6,20
talk,20,20.3
i,20.3,21.2
don't,21.2,21.3
get,21.3,21.6
it,21.6,21.7
shrek,21.7,22.1
why,22.2,22.2
don't,22.2,22.2
you,22.3,22.3
just,22.4,22.5
pull,22.6,22.7
some,22.8,22.8
of,22.8,22.8
that,22.8,22.9
ogre,23.1,23.2
stuff,23.3,23.5
on,23.6,23.6
him,23.6,23.7
you,23.8,23.8
know,23.9,24
throttle,24.2,24.4
him,24.4,24.5
lay,24.7,24.7
siege,24.8,25.1
to,25.1,25.2
his,25.2,25.3
fortress,25.3,25.7
grind,26.2,26.3
his,26.4,26.4
bones,26.5,27
to,27.1,27.1
make,27.2,27.3
your,27.4,27.4
bread,27.7,27.9
you,28.1,28.1
know,28.1,28.1
the,28.2,28.2
whole,28.2,28.3
ogre,28.5,28.7
trip,28.8,28.9
oh,28.9,29.5
i,30,30.1
know,30.1,30.3
what,30.4,30.6
